architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
four_layer,relu,0.0001,0.3,64,1e-05,64,32,1.0609065294265747,0.24744731187820435,32.0,16.0
four_layer,relu,0.0001,0.3,64,1e-05,64,32,1.0640523433685303,0.24297785758972168,16.0,16.0
four_layer,relu,0.0001,0.3,32,0.0001,128,32,1.0647281408309937,0.24201595783233643,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,128,64,1.065502405166626,0.24091315269470215,16.0,16.0
four_layer,relu,0.0001,0.3,32,0.001,64,64,1.101110816001892,0.1893288493156433,32.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,64,32,1.138883352279663,0.13275641202926636,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.001,64,64,1.1616231203079224,0.09777861833572388,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,64,32,1.265859603881836,-0.07140517234802246,16.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,64,64,1.280171275138855,-0.09576833248138428,32.0,16.0
four_layer,relu,0.0001,0.3,64,0.0001,64,32,1.3077361583709717,-0.1434650421142578,32.0,16.0
three_layer,relu,0.0001,0.1,64,0.0001,64,32,1.3699380159378052,-0.2548288106918335,16.0,
