architecture,activation,learning_rate,dropout,batch_size,weight_decay,neurons_1,neurons_2,val_rmse,val_r2,neurons_3,neurons_4
three_layer,relu,0.0005,0.1,64,0.0001,64,32,0.8167116045951843,0.5540151596069336,16.0,
four_layer,relu,0.0005,0.3,32,0.0001,64,32,0.816802442073822,0.5539159774780273,16.0,16.0
four_layer,relu,0.001,0.3,64,1e-05,64,32,0.8171692490577698,0.5535151958465576,32.0,16.0
four_layer,tanh,0.0005,0.3,64,0.0001,128,32,0.8175370097160339,0.5531132817268372,32.0,16.0
four_layer,relu,0.001,0.3,64,0.0001,64,32,0.817616879940033,0.5530259609222412,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.0001,128,64,0.8177622556686401,0.5528669357299805,16.0,16.0
four_layer,relu,0.0005,0.3,64,1e-05,64,64,0.8177787661552429,0.5528488755226135,16.0,16.0
four_layer,relu,0.001,0.1,64,0.0001,128,64,0.8178308010101318,0.552791953086853,16.0,16.0
three_layer,relu,0.0001,0.1,64,0.001,64,32,0.818048894405365,0.5525534749031067,16.0,
three_layer,tanh,0.0001,0.1,32,0.001,64,32,0.8180599212646484,0.5525413751602173,16.0,
three_layer,tanh,0.0001,0.1,32,0.0001,64,32,0.8182562589645386,0.5523265600204468,32.0,
four_layer,tanh,0.0001,0.1,32,0.001,64,32,0.8183997869491577,0.5521695613861084,16.0,16.0
four_layer,tanh,0.0001,0.1,32,0.0001,64,64,0.8186933398246765,0.5518482327461243,32.0,16.0
two_layer,relu,0.0001,0.3,32,0.0001,64,32,0.8188675045967102,0.5516575574874878,,
four_layer,relu,0.0005,0.3,64,0.001,64,64,0.8190909028053284,0.55141282081604,16.0,16.0
four_layer,tanh,0.0005,0.3,32,0.001,128,64,0.8191899657249451,0.5513043403625488,16.0,16.0
four_layer,relu,0.001,0.3,32,0.0001,64,32,0.8193451762199402,0.5511342883110046,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,64,32,0.8193652629852295,0.5511122941970825,32.0,16.0
four_layer,tanh,0.0001,0.3,64,0.0001,64,32,0.8194112777709961,0.5510618686676025,32.0,16.0
four_layer,relu,0.0005,0.3,32,1e-05,64,32,0.8195197582244873,0.5509430170059204,16.0,16.0
three_layer,relu,0.0005,0.3,32,0.001,64,64,0.8197718858718872,0.5506666898727417,16.0,
three_layer,tanh,0.0005,0.1,64,0.0001,64,32,0.8198948502540588,0.550531804561615,16.0,
three_layer,tanh,0.0001,0.1,64,0.0001,128,32,0.8205998539924622,0.5497585535049438,32.0,
four_layer,tanh,0.0005,0.3,64,0.0001,64,64,0.8209577202796936,0.549365758895874,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,128,32,0.8210431933403015,0.549271821975708,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.0001,128,64,0.8211798071861267,0.5491218566894531,32.0,16.0
four_layer,relu,0.0005,0.3,32,0.001,128,64,0.8212074041366577,0.549091637134552,16.0,16.0
